provincia_id,provincia_nombre,genero,edad_actual_grandes_grupos,cantidad
86,Santiago del Estero,F,30 a 39,70
86,Santiago del Estero,F,40 y mas,52
86,Santiago del Estero,M,18 a 29,38
86,Santiago del Estero,M,30 a 39,20
86,Santiago del Estero,M,40 y mas,11
86,Santiago del Estero,X,0 a 17,1
86,Santiago del Estero,X,18 a 29,5
86,Santiago del Estero,X,30 a 39,1
86,Santiago del Estero,X,40 y mas,2
94,Tierra del Fuego,F,0 a 17,2
94,Tierra del Fuego,F,18 a 29,10
94,Tierra del Fuego,F,30 a 39,11
94,Tierra del Fuego,F,40 y mas,9
94,Tierra del Fuego,M,0 a 17,11
94,Tierra del Fuego,M,18 a 29,45
94,Tierra del Fuego,M,30 a 39,8
94,Tierra del Fuego,M,40 y mas,3
94,Tierra del Fuego,X,0 a 17,2
94,Tierra del Fuego,X,18 a 29,10
94,Tierra del Fuego,X,30 a 39,5
90,Tucumán,F,0 a 17,4
90,Tucumán,F,18 a 29,119
90,Tucumán,F,30 a 39,159
90,Tucumán,F,40 y mas,164
90,Tucumán,M,0 a 17,16
90,Tucumán,M,18 a 29,112
90,Tucumán,M,30 a 39,49
90,Tucumán,M,40 y mas,19
90,Tucumán,X,0 a 17,2
90,Tucumán,X,18 a 29,14
90,Tucumán,X,30 a 39,10
90,Tucumán,X,40 y mas,5
